title,vqq_score,need_vip,cast,play_amt,vqq_play_link,img_link
摔跤吧！爸爸,9.4,False,主演：阿米尔·汗 沙克希·坦沃 法缇玛·萨那·纱卡 桑亚·玛荷塔 阿帕尔夏克提·库拉那,3亿,"<a href=""https://v.qq.com/x/cover/2xxul4n2j8y0rxi.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/2xxul4n2j8y0rxi1493347926/220"">"
我不是药神,9.4,True,主演：徐峥 王传君 周一围 谭卓 章宇,4亿,"<a href=""https://v.qq.com/x/cover/og0eputlxwet1cn.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/og0eputlxwet1cn1524011116/220"">"
教父2,9.4,True,主演：阿尔·帕西诺 罗伯特·德尼罗 约翰·凯泽尔 罗伯特·杜瓦尔 黛安·基顿,1083万,"<a href=""https://v.qq.com/x/cover/c2f26xjegzuyi16.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/c2f26xjegzuyi161522723781/220"">"
乱世佳人,9.4,True,主演：克拉克·盖博 费雯·丽 托马斯·米切尔 海蒂·麦克丹尼尔斯 奥莉薇·黛·哈佛兰,1097万,"<a href=""https://v.qq.com/x/cover/gzdq4acw02m3ajs.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/gzdq4acw02m3ajst1444853112.jpg/220"">"
教父1,9.4,True,主演：马龙·白兰度 阿尔·帕西诺 詹姆斯·凯恩 罗伯特·杜瓦尔,1839万,"<a href=""https://v.qq.com/x/cover/x90v161tdg3lrzl.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/x90v161tdg3lrzl1523588022/220"">"
茶馆,9.4,True,主演：于是之 郑榕 蓝天野 英若诚,264万,"<a href=""https://v.qq.com/x/cover/lw7tt45cgl3rnhd.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/lw7tt45cgl3rnhdt1463727707.jpg/220"">"
机器人总动员,9.4,True,最萌瓦力星际寻爱,3742万,"<a href=""https://v.qq.com/x/cover/vqeduf4egjyrc8w.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vqeduf4egjyrc8wt1444916447.jpg/220"">"
放牛班的春天,9.4,True,主演：尚-巴堤·莫里耶 杰拉尔·朱诺 凯德·麦拉德 玛丽·布奈尔 弗朗西斯·贝尔兰德 雅克·贝汉,1230万,"<a href=""https://v.qq.com/x/cover/3u551qgyjhil9l7.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/3u551qgyjhil9l71559830435/220"">"
大闹天宫,9.4,True,齐天大圣大闹天宫,1155万,"<a href=""https://v.qq.com/x/cover/63hlfa8yfrs1yza.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/63hlfa8yfrs1yza1530174195/220"">"
灿烂人生,9.4,True,主演：卢伊吉洛·肖卡 阿莱西奥·博尼 索尼娅·贝加马斯卡 杰丝敏·特丽卡 里卡尔多·斯卡马奇奥 瓦伦蒂娜·卡妮卢提,1473万,"<a href=""https://v.qq.com/x/cover/szdk5vibdh32543.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/szdk5vibdh325431477898478/220"">"
背靠背，脸对脸,9.4,True,主演：牛振华 雷恪生 李强,644万,"<a href=""https://v.qq.com/x/cover/zwqybzsk6m1ahnx.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/zwqybzsk6m1ahnxt1456029012.jpg/220"">"
忠犬八公的故事,9.4,True,主演：理查·基尔 萨拉·罗默尔 琼·艾伦 杰森·亚历山大 艾瑞克·阿瓦利 罗伯特·卡普荣,5807万,"<a href=""https://v.qq.com/x/cover/vb1t9npga3tha8d.html"">Film link</a>","<img src=""//puui.qpic.cn/vcover_vt_pic/0/vb1t9npga3tha8d1559756688/220"">"
